,GBOV_ID,Site,GROUND_DATA_PI,GROUND_DATA_PIs_Email,GBOV_Email,Network,Elevation,IGBP_class,Lat_IS,Lon_IS,TIME_IS,Version,up_flag,down_flag,LAI_Miller_up,LAI_Warren_up,LAIe_Miller_up,LAIe_Warren_up,LAI_Miller_down,LAI_Warren_down,LAIe_Miller_down,LAIe_Warren_down,LAI_Miller_up_err,LAI_Warren_up_err,LAIe_Miller_up_err,LAIe_Warren_up_err,clumping_Miller_up,clumping_Warren_up,LAI_Miller_down_err,LAI_Warren_down_err,LAIe_Miller_down_err,LAIe_Warren_down_err,clumping_Miller_down,clumping_Warren_down,clumping_Miller_up_err,clumping_Warren_up_err,clumping_Miller_down_err,clumping_Warren_down_err
0,GBOV_RM7_1223,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180813T000000Z,2.0,0.0,0.0,4.07,3.7,2.83,2.69,0.245,0.19,0.183,0.154,0.12,0.15,0.09,0.11,0.695,0.73,0.027,0.04,0.017,0.022,0.75,0.8,0.029,0.04,0.11,0.19
1,GBOV_RM7_1223,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180813T151000Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GBOV_RM7_1235,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180813T000000Z,2.0,0.0,0.0,5.0,4.33,3.03,2.64,1.33,1.04,1.0,0.77,0.18,0.23,0.12,0.18,0.605,0.61,0.11,0.18,0.07,0.11,0.76,0.74,0.033,0.05,0.08,0.17
3,GBOV_RM7_1235,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180813T063900Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,GBOV_RM7_1244,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180813T000000Z,2.0,0.0,0.0,4.62,4.58,3.13,3.14,2.72,1.99,1.75,1.34,0.16,0.25,0.12,0.2,0.678,0.69,0.21,0.32,0.14,0.22,0.64,0.67,0.035,0.06,0.07,0.16
5,GBOV_RM7_1244,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180813T070400Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,GBOV_RM7_1211,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180813T000000Z,2.0,0.0,0.0,5.03,4.08,3.62,3.02,2.6,1.87,1.92,1.47,0.14,0.15,0.11,0.15,0.721,0.74,0.12,0.14,0.09,0.12,0.74,0.79,0.029,0.05,0.05,0.09
7,GBOV_RM7_1211,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180813T072000Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,GBOV_RM7_1253,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180813T000000Z,2.0,0.0,0.0,5.57,4.69,4.11,3.45,1.08,0.78,0.83,0.65,0.15,0.2,0.13,0.19,0.739,0.74,0.09,0.1,0.06,0.07,0.77,0.83,0.03,0.05,0.08,0.14
9,GBOV_RM7_1253,Harvard Forest,Courtney Meier,cmeier@battelleecology.org,support-copernicus-gbov@acri-st.fr,NEON,351,Mixed Forest,42.5377998352051,-72.171501159668,20180813T074000Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
