"GBOV_ID";"Site";"GROUND_DATA_PI";"GROUND_DATA_PIs_Email";"GBOV_Email";"Network";"Elevation";"IGBP_class";"Lat_IS";"Lon_IS";"TIME_IS";"Version";"up_flag";"down_flag";"LAI_Miller_up";"LAI_Warren_up";"LAIe_Miller_up";"LAIe_Warren_up";"LAI_Miller_down";"LAI_Warren_down";"LAIe_Miller_down";"LAIe_Warren_down";"LAI_Miller_up_err";"LAI_Warren_up_err";"LAIe_Miller_up_err";"LAIe_Warren_up_err";"clumping_Miller_up";"clumping_Warren_up";"LAI_Miller_down_err";"LAI_Warren_down_err";"LAIe_Miller_down_err";"LAIe_Warren_down_err";"clumping_Miller_down";"clumping_Warren_down";"clumping_Miller_up_err";"clumping_Warren_up_err";"clumping_Miller_down_err";"clumping_Warren_down_err"
"GBOV_RM7_1997";"Konza Prairie Biological Station";"TBD";"TBD";"support-copernicus-gbov@acri-st.fr";"NEON";"323";"Croplands";39.110446;-96.612935;"20170705T143800Z";"2.0";-999;0;-999;-999;-999;-999;"0.0121";"0.0166";"0.0121";"0.0165";-999;-999;-999;-999;-999;-999;"0.0009";"0.0019";"0.0009";"0.0018";"0.99";"0.99";-999;-999;"0.11";"0.16"
"GBOV_RM7_1997";"Konza Prairie Biological Station";"TBD";"TBD";"support-copernicus-gbov@acri-st.fr";"NEON";"323";"Croplands";39.110446;-96.612935;"20170719T095600Z";"2.0";-999;0;-999;-999;-999;-999;"0.095";"0.041";"0.086";"0.038";-999;-999;-999;-999;-999;-999;"0.010";"0.008";"0.008";"0.006";"0.91";"0.92";-999;-999;"0.13";"0.23"
"GBOV_RM7_1997";"Konza Prairie Biological Station";"TBD";"TBD";"support-copernicus-gbov@acri-st.fr";"NEON";"323";"Croplands";39.110446;-96.612935;"20170801T135300Z";"2.0";-999;0;-999;-999;-999;-999;"0.48";"0.257";"0.392";"0.234";-999;-999;-999;-999;-999;-999;"0.04";"0.027";"0.025";"0.022";"0.82";"0.91";-999;-999;"0.08";"0.13"
"GBOV_RM7_1997";"Konza Prairie Biological Station";"TBD";"TBD";"support-copernicus-gbov@acri-st.fr";"NEON";"323";"Croplands";39.110446;-96.612935;"20170817T143500Z";"2.0";-999;0;-999;-999;-999;-999;"0.270";"0.185";"0.263";"0.180";-999;-999;-999;-999;-999;-999;"0.009";"0.010";"0.009";"0.010";"0.97";"0.98";-999;-999;"0.05";"0.07"
"GBOV_RM7_1997";"Konza Prairie Biological Station";"TBD";"TBD";"support-copernicus-gbov@acri-st.fr";"NEON";"323";"Croplands";39.110446;-96.612935;"20170830T091300Z";"2.0";-999;0;-999;-999;-999;-999;"0.0092";"0.0112";"0.0091";"0.0112";-999;-999;-999;-999;-999;-999;"0.0006";"0.0014";"0.0006";"0.0014";"1.00";"1.00";-999;-999;"0.09";"0.17"
"GBOV_RM7_1997";"Konza Prairie Biological Station";"TBD";"TBD";"support-copernicus-gbov@acri-st.fr";"NEON";"323";"Croplands";39.110446;-96.612935;"20170913T122500Z";"2.0";-999;0;-999;-999;-999;-999;"0.0083";"0.0132";"0.0082";"0.0131";-999;-999;-999;-999;-999;-999;"0.0004";"0.0012";"0.0004";"0.0012";"1.00";"0.99";-999;-999;"0.08";"0.13"
"GBOV_RM7_1997";"Konza Prairie Biological Station";"TBD";"TBD";"support-copernicus-gbov@acri-st.fr";"NEON";"323";"Croplands";39.110446;-96.612935;"20170927T095000Z";"2.0";-999;0;-999;-999;-999;-999;"0.0228";"0.0454";"0.0227";"0.0452";-999;-999;-999;-999;-999;-999;"0.0009";"0.0021";"0.0009";"0.0021";"1.00";"1.00";-999;-999;"0.06";"0.06"
"GBOV_RM7_1997";"Konza Prairie Biological Station";"TBD";"TBD";"support-copernicus-gbov@acri-st.fr";"NEON";"323";"Croplands";39.110446;-96.612935;"20171011T105200Z";"2.0";-999;0;-999;-999;-999;-999;"0.0748";"0.112";"0.0742";"0.111";-999;-999;-999;-999;-999;-999;"0.0027";"0.006";"0.0026";"0.006";"0.99";"0.99";-999;-999;"0.05";"0.07"
"GBOV_RM7_1997";"Konza Prairie Biological Station";"TBD";"TBD";"support-copernicus-gbov@acri-st.fr";"NEON";"323";"Croplands";39.110446;-96.612935;"20171025T100800Z";"2.0";-999;0;-999;-999;-999;-999;"0.108";"0.136";"0.106";"0.133";-999;-999;-999;-999;-999;-999;"0.007";"0.015";"0.007";"0.014";"0.98";"0.98";-999;-999;"0.09";"0.15"
"GBOV_RM7_1997";"Konza Prairie Biological Station";"TBD";"TBD";"support-copernicus-gbov@acri-st.fr";"NEON";"323";"Croplands";39.110446;-96.612935;"20180329T141200Z";"2.0";-999;0;-999;-999;-999;-999;"0.0243";"0.0471";"0.0241";"0.0467";-999;-999;-999;-999;-999;-999;"0.0011";"0.0030";"0.0011";"0.0029";"0.99";"0.99";-999;-999;"0.06";"0.09"
